"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2017,6,111476097
2017,6,111476373
2017,9,111477394
2017,6,111477499
2017,9,111478865
2017,9,111478877
2017,9,111479242
2017,6,111479972
2017,6,111480602
2017,6,111480869
2017,9,111480901
2017,6,111481055
2017,6,111481288
2017,6,111481284
2017,6,111481334
2017,6,111481336
2017,6,111481566
2017,9,111483519
2017,9,111485192
2017,3,111486077
2017,6,111486821
2017,6,111486824
2017,6,111486872
2017,5,111487475
2017,6,111488523
2017,6,111490418
2017,3,111494918
2017,6,111495498
2017,3,111495498
2017,6,111496062
2017,6,111496345
2017,6,111496353
2017,6,111496384
2017,3,111496384
2017,6,111496453
2017,6,111497709
2017,6,111497923
2017,8,111498615
2017,3,110853159
2017,9,110853575
2017,6,110854555
2017,6,110854946
2017,6,110855399
2017,6,110855504
2017,2,110860078
2017,6,110860819
2017,9,110861334
2017,6,110861940
2017,9,110862255
2017,6,110862294
2017,6,110863888
2017,9,110863963
2017,1,110864082
2017,3,110864249
2017,6,110864914
2017,6,110864918
2017,6,110865177
2017,6,110866212
2017,6,110866676
2017,6,110866680
2017,9,110867348
2017,9,110867583
2017,9,110867805
2017,6,110868180
2017,6,115069703
2017,6,115069707
2017,9,110852774
2017,3,110852914
2017,9,110853625
2017,8,110853871
2017,3,110855152
2017,6,110855565
2017,6,110855990
2017,6,110856380
2017,1,110856380
2017,6,110856383
2017,6,110856394
2017,6,110856388
2017,6,110856782
2017,9,110857483
2017,9,110857828
2017,6,110859609
2017,3,110860358
2017,3,110860549
2017,6,110861304
2017,6,110861830
2017,9,110862449
2017,6,110866018
2017,6,111468997
2017,3,111469256
2017,6,111469616
2017,6,111469739
2017,6,111471074
2017,6,111471835
2017,6,111472029
2017,9,111473700
2017,6,111474003
2017,9,111474028
2017,8,111474142
2017,9,111474282
2017,6,111475117
2017,3,111475117
2017,6,111476774
2017,6,111476777
2017,3,111478064
2017,9,111479283
2017,3,111482213
2017,9,111483622
2017,6,111483712
2017,6,111484222
2017,6,111484389
2017,9,111484433
2017,6,111486881
2017,9,111487473
2017,6,111487959
2017,6,111488495
2017,9,111488553
2017,6,120155542
2017,9,120155960
2017,9,120155958
2017,6,120156438
2017,9,120157253
2017,6,120158210
2017,9,111469274
2017,6,111469288
2017,3,111469282
2017,9,111469840
2017,6,111473016
2017,6,111473286
2017,9,111474151
2017,8,111475576
2017,6,111476241
2017,6,111476813
2017,9,111477053
2017,6,111478578
2017,6,111478838
2017,6,111481082
2017,6,111481329
2017,6,111481606
2017,6,111481789
2017,9,111483540
2017,6,111484218
2017,6,111484327
2017,6,111484356
2017,3,111487397
2017,6,111487976
