"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2017,12,111607803,19675078
2017,18,111607920,19675097
2017,12,111608336,19675192
2017,19,111608497,19675224
2017,2,111608606,19675259
2017,2,111608662,19675277
2017,12,111608929,19675344
2017,12,111609150,19675410
2017,12,111613461,19676129
2017,12,111614032,19676273
2017,18,111614185,19676299
2017,12,111615793,19676804
2017,20,115775146,20552662
2017,12,115775742,20552769
2017,20,115775748,20552772
2017,19,115775804,20552779
2017,18,115776137,20552850
2017,12,115776772,20552988
2017,20,115776997,20553029
2017,14,115777248,20553071
2017,12,115777245,20553070
2017,12,115778233,20553239
2017,12,115778410,20553260
2017,20,110855989,19510034
2017,12,110856582,19510106
2017,20,110856416,19510086
2017,17,110856728,19510141
2017,12,110856730,19510142
2017,19,110857606,19510291
2017,3,110858370,19510463
2017,12,110858381,19510466
2017,12,110859008,19510589
2017,19,110859526,19510639
2017,12,110860056,19510733
2017,12,110860217,19510758
2017,12,110860301,19510770
2017,12,110860314,19510774
2017,18,110860347,19510779
2017,18,111011637,19540437
2017,12,111012044,19540542
2017,12,111012517,19540637
2017,12,111012574,19540649
2017,18,111012727,19540687
2017,12,111013269,19540795
2017,12,111013449,19540828
2017,12,111013950,19540924
2017,12,111014070,19540960
2017,12,111014107,19540966
2017,20,111014132,19540969
2017,9,111014142,19540970
2017,12,111014449,19541024
2017,12,110879301,19513936
2017,12,116823999,20783540
2017,12,116824068,20783551
2017,12,116824453,20783627
2017,10,116824521,20783636
2017,11,116824726,20783677
2017,12,116382974,20684779
2017,12,116382992,20684783
2017,3,116383593,20684899
2017,9,116383811,20684942
2017,12,116384728,20685114
2017,18,116384778,20685117
2017,19,116385421,20685215
2017,12,116385891,20685312
2017,12,116387661,20685646
2017,20,116387779,20685667
2017,18,116388651,20685838
2017,12,116388651,20685835
2017,12,116391190,20686196
2017,12,116391194,20686198
2017,12,116827846,20784245
2017,12,116828074,20784292
2017,12,116828874,20784447
2017,12,116829390,20784539
2017,3,116830706,20784831
2017,12,116830696,20784825
2017,3,116830676,20784823
2017,10,116391415,20686233
2017,12,116391602,20686278
2017,12,116393143,20686652
2017,12,116393971,20686873
2017,20,116394523,20687016
2017,18,116394706,20687066
2017,18,116396107,20687366
2017,12,116396354,20687418
2017,12,116397126,20687549
2017,9,116397163,20687552
2017,12,116398184,20687753
2017,3,116398849,20687917
2017,12,116400717,20688434
2017,12,116400739,20688440
2017,20,116400779,20688450
2017,12,116403172,20689024
2017,12,116403764,20689210
2017,12,116403961,20689267
2017,12,116404141,20689345
2017,12,116404672,20689498
2017,12,116406532,20689957
2017,12,116407199,20690110
2017,12,116407426,20690162
2017,12,116407701,20690224
2017,12,116407766,20690235
2017,20,116407925,20690272
2017,12,116409305,20690564
2017,12,116410340,20690817
2017,12,116410427,20690845
2017,12,116410637,20690906
2017,12,116410759,20690945
2017,20,116412229,20691212
2017,3,116415030,20691733
2017,12,116415381,20691817
2017,12,116416470,20692043
2017,18,116416695,20692084
2017,18,116416957,20692141
2017,12,116418272,20692471
2017,12,116418468,20692511
2017,12,116418640,20692546
2017,12,116419170,20692655
2017,12,116419995,20692866
2017,17,116420702,20693007
2017,12,116420702,20693006
2017,12,116421218,20693093
2017,12,116421848,20693244
2017,12,116422362,20693360
2017,12,116423652,20693628
2017,3,116423779,20693661
2017,12,116425528,20694061
2017,10,116425528,20694062
2017,12,116429708,20695136
2017,12,116430122,20695260
2017,12,116430882,20695460
2017,20,116832332,20785217
2017,20,110853956,19509713
2017,12,110854882,19509852
2017,12,110855347,19509930
2017,12,110313408,19393314
2017,12,110313685,19393359
2017,12,110313806,19393380
2017,3,110313806,19393379
2017,22,110313950,19393402
2017,12,110314030,19393412
2017,12,110314278,19393444
2017,12,110316266,19393757
2017,12,110316356,19393769
2017,12,110316370,19393771
2017,20,110317398,19393943
2017,20,110318352,19394072
2017,12,110318677,19394127
2017,20,110318850,19394153
2017,12,110321335,19394576
2017,12,110323444,19394873
2017,20,110325881,19395230
2017,12,110326282,19395313
2017,18,110327542,19395527
2017,12,110327737,19395571
2017,12,110329369,19395815
2017,12,110329463,19395829
2017,12,115778721,20553320
2017,12,115780286,20553648
2017,12,115780935,20553775
2017,2,115780955,20553779
2017,11,115781075,20553819
2017,12,115781096,20553822
2017,12,115781655,20553931
2017,12,115782722,20554140
2017,12,115782774,20554156
2017,12,115782832,20554173
2017,12,115782902,20554189
2017,12,115782935,20554201
2017,18,115783000,20554215
2017,12,115783057,20554231
2017,20,115783124,20554240
2017,12,115783334,20554269
2017,3,115783435,20554292
2017,12,115783806,20554367
2017,12,115783850,20554374
