N,DATA_YEAR,ARRESTEE_ID,INCIDENT_ID,ARREST_DATE,MULTIPLE_INDICATOR,AGE_NUM,SEX_CODE,ARREST_TYPE_NAME,OFFENSE_NAME,CRIME_AGAINST,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,RACE_DESC,AGENCY_ID,NIBRS_MONTH_ID,SUBMISSION_DATE,INCIDENT_DATE,INCIDENT_HOUR
17464,2017,25883567,88995191,21-FEB-17,N,48,M,On View,Motor Vehicle Theft,Property,Motor Vehicle Theft,A,Black or African American,728,7528697,17-AUG-18,13-FEB-17,18
17465,2017,25885692,89000886,07-FEB-17,N,67,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,749,7530119,17-AUG-18,07-FEB-17,NA
17466,2017,25886469,89002595,25-JAN-17,N,20,M,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,White,763,7530143,17-AUG-18,06-JAN-17,15
17467,2017,25886482,89002623,14-JAN-17,N,23,F,Taken INTO Custody,All Other Larceny,Property,Larceny/Theft Offenses,A,White,763,7530143,17-AUG-18,14-JAN-17,16
17468,2017,25792320,88750005,10-JAN-17,N,18,F,Taken INTO Custody,All Other Larceny,Property,Larceny/Theft Offenses,A,White,591,7512324,17-AUG-18,10-JAN-17,16
17469,2017,25794074,88754145,21-JAN-17,N,49,M,Summoned / Cited,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,612,7512342,17-AUG-18,04-JAN-17,NA
17470,2017,25795166,88756915,21-JAN-17,C,22,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,632,7512362,17-AUG-18,21-JAN-17,15
17471,2017,25795171,88756933,22-JAN-17,C,43,M,Taken INTO Custody,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,Black or African American,632,7512362,17-AUG-18,22-JAN-17,9
17472,2017,25803835,88776660,21-JAN-17,N,20,F,Taken INTO Custody,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,743,7515638,17-AUG-18,21-JAN-17,NA
17473,2017,25807478,88786640,29-JAN-17,N,14,M,Taken INTO Custody,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,728,7515622,17-AUG-18,29-JAN-17,2
17474,2017,25807679,88787209,28-JAN-17,N,52,F,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,Unknown,745,7515641,17-AUG-18,28-JAN-17,15
17475,2017,25807677,88787209,28-JAN-17,N,54,M,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,White,745,7515641,17-AUG-18,28-JAN-17,15
17476,2017,25808779,88789923,25-JAN-17,N,32,M,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,White,749,7515643,17-AUG-18,25-JAN-17,NA
17477,2017,25879316,88984806,08-FEB-17,N,29,F,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,White,697,7528659,17-AUG-18,08-FEB-17,14
17478,2017,25884576,88998423,12-FEB-17,N,30,M,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,743,7528762,17-AUG-18,12-FEB-17,NA
17479,2017,25801711,88770851,26-JAN-17,N,36,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,White,727,7515610,17-AUG-18,26-JAN-17,17
17480,2017,25802057,88771894,03-JAN-17,N,36,F,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,730,7515632,17-AUG-18,03-JAN-17,9
17481,2017,25802175,88772164,23-JAN-17,N,18,F,Taken INTO Custody,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,White,730,7515632,17-AUG-18,23-JAN-17,21
17482,2017,25803254,88774808,10-JAN-17,N,23,M,On View,Robbery,Property,Robbery,A,White,729,7515616,17-AUG-18,10-JAN-17,NA
17483,2017,25803277,88774867,13-JAN-17,N,34,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,White,729,7515616,17-AUG-18,13-JAN-17,1
17484,2017,25803456,88775448,07-JAN-17,N,34,M,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,White,742,7515637,17-AUG-18,07-JAN-17,19
17485,2017,25806778,88784426,11-JAN-17,N,30,M,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,White,728,7515622,17-AUG-18,11-JAN-17,22
17486,2017,25806962,88785058,17-JAN-17,N,33,M,On View,Credit Card/Automated Teller Machine Fraud,Property,Fraud Offenses,A,White,728,7515622,17-AUG-18,17-JAN-17,2
17487,2017,25807216,88786054,25-JAN-17,N,50,M,On View,Robbery,Property,Robbery,A,Black or African American,728,7515622,17-AUG-18,25-JAN-17,23
17488,2017,25807479,88786643,29-JAN-17,N,28,M,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,728,7515622,17-AUG-18,29-JAN-17,1
17489,2017,25807579,88786927,31-JAN-17,N,48,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,728,7515622,17-AUG-18,31-JAN-17,3
17490,2017,26744002,91510930,04-JUN-17,N,20,M,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,726,7667515,17-AUG-18,04-JUN-17,15
17491,2017,26744055,91511099,10-JUN-17,N,42,F,Taken INTO Custody,Stolen Property Offenses,Property,Stolen Property Offenses,A,White,726,7667515,17-AUG-18,10-JUN-17,17
17492,2017,26744057,91511099,10-JUN-17,N,31,M,Taken INTO Custody,Stolen Property Offenses,Property,Stolen Property Offenses,A,White,726,7667515,17-AUG-18,10-JUN-17,17
17493,2017,26750954,91530363,29-MAY-17,N,14,M,Summoned / Cited,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,728,7610612,17-AUG-18,29-MAY-17,19
17494,2017,26750952,91530363,29-MAY-17,N,15,M,Taken INTO Custody,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,728,7610612,17-AUG-18,29-MAY-17,19
17495,2017,26751618,91531756,02-JUN-17,N,30,M,Taken INTO Custody,All Other Larceny,Property,Larceny/Theft Offenses,A,White,728,7667504,17-AUG-18,01-JUN-17,6
17496,2017,26751771,91532149,02-JUN-17,N,18,M,Summoned / Cited,Impersonation,Property,Fraud Offenses,A,White,728,7667504,17-AUG-18,02-JUN-17,21
17497,2017,26751767,91532149,02-JUN-17,N,18,M,Summoned / Cited,Impersonation,Property,Fraud Offenses,A,White,728,7667504,17-AUG-18,02-JUN-17,21
17498,2017,26032882,89462814,03-MAR-17,N,19,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,510,7551843,17-AUG-18,03-MAR-17,11
17499,2017,26032885,89462814,03-MAR-17,N,19,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,510,7551843,17-AUG-18,03-MAR-17,11
17500,2017,26032925,89462894,10-MAR-17,N,35,F,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,510,7551843,17-AUG-18,10-MAR-17,14
