N,DATA_YEAR,ARRESTEE_ID,INCIDENT_ID,ARREST_DATE,MULTIPLE_INDICATOR,AGE_NUM,SEX_CODE,ARREST_TYPE_NAME,OFFENSE_NAME,CRIME_AGAINST,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,RACE_DESC,AGENCY_ID,NIBRS_MONTH_ID,SUBMISSION_DATE,INCIDENT_DATE,INCIDENT_HOUR
4331,2017,26061420,89533764,21-MAR-17,C,40,M,Summoned / Cited,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,Black or African American,10161,7524031,17-AUG-18,21-MAR-17,19
4332,2017,26061574,89534419,24-MAR-17,N,17,M,Summoned / Cited,Theft From Building,Property,Larceny/Theft Offenses,A,Black or African American,10161,7524031,17-AUG-18,23-MAR-17,9
4333,2017,26061576,89534419,24-MAR-17,N,18,M,Summoned / Cited,Theft From Building,Property,Larceny/Theft Offenses,A,Black or African American,10161,7524031,17-AUG-18,23-MAR-17,9
4334,2017,26061989,89536182,30-MAR-17,C,17,M,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,10161,7524031,17-AUG-18,30-MAR-17,22
4335,2017,25857940,88930525,31-JAN-17,N,51,M,Summoned / Cited,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,Black or African American,10161,7470113,17-AUG-18,31-JAN-17,7
4336,2017,25859515,88935161,15-FEB-17,C,49,M,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,10161,7494133,17-AUG-18,15-FEB-17,7
4337,2017,25859818,88936368,19-FEB-17,C,25,F,On View,Robbery,Property,Robbery,A,Black or African American,10161,7494133,17-AUG-18,19-FEB-17,15
4338,2017,26190382,89883050,06-APR-17,C,26,M,Taken INTO Custody,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,9597,7574975,17-AUG-18,06-APR-17,22
4339,2017,26269968,90130130,02-MAY-17,C,36,M,Taken INTO Custody,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,9597,7589206,17-AUG-18,02-MAY-17,9
4340,2017,26270953,90131807,21-APR-17,N,42,M,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,9735,7589214,17-AUG-18,09-APR-17,8
