"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2017,97079844,100175231,1,29256947
2017,97080003,100175387,1,29256975
2017,97080658,100176115,3,29257094
2017,99366930,102488601,18,29953715
2017,97081075,100176538,18,29257167
2017,97081075,100176539,18,29257168
2017,97081214,100176670,21,29257191
2017,97081349,100176773,17,29257201
2017,97081539,100176944,16,29257231
2017,97081866,100177278,21,29257317
2017,99366927,102488600,18,29953705
2017,97084147,100179588,24,29257739
2017,97084163,100179583,24,29257740
2017,97084163,100179588,25,29257745
2017,97084147,100179583,25,29257738
2017,99366904,102488601,18,29953698
2017,99366930,102488599,18,29953713
2017,99367351,102489078,5,29953871
2017,99368383,102490098,1,29954318
2017,99368596,102490308,18,29954400
2017,99369362,102491009,24,29954657
2017,99369468,102491155,17,29954704
2017,99369485,102491153,18,29954708
2017,99369495,102491147,18,29954721
2017,99369485,102491150,18,29954712
2017,99369485,102491147,18,29954711
2017,99369495,102491146,18,29954720
2017,97109774,100205584,18,29266970
2017,99369495,102491153,18,29954718
2017,99369495,102491150,18,29954722
2017,99369485,102491146,18,29954709
2017,99369788,102491488,24,29954843
2017,99369852,102491540,3,29954874
2017,97110462,100206295,24,29267227
2017,97110969,100206766,18,29267425
2017,99370169,102491837,15,29955013
2017,99370594,102492269,1,29955190
2017,97111718,100207457,18,29267728
2017,99370642,102492317,18,29955212
2017,99370679,102492362,18,29955222
2017,97112053,100207825,18,29267904
2017,97112049,100207825,18,29267901
2017,97112055,100207825,18,29267907
2017,97112285,100208055,18,29267991
2017,97112284,100208055,1,29267990
2017,97112970,100208727,24,29268264
2017,97112970,100208726,18,29268266
2017,99370697,102492381,18,29955227
2017,99371630,102493332,18,29955737
2017,99372921,102494654,17,29956348
2017,97113957,100209701,1,29268596
2017,97114698,100210422,19,29268856
2017,97114692,100210422,25,29268855
2017,97114698,100210419,25,29268859
2017,97114692,100210419,19,29268854
2017,97117368,100213076,3,29269751
2017,97117390,100213099,14,29269757
2017,97117806,100213526,9,29269914
2017,97117939,100213650,1,29269972
2017,97118575,100214285,18,29270136
2017,97118575,100214284,18,29270134
2017,97118664,100214375,17,29270177
2017,97118820,100214535,18,29270221
2017,99373622,102495336,3,29956576
2017,97119306,100215029,3,29270380
2017,97119388,100215113,21,29270411
2017,97120042,100215780,3,29270673
2017,97120750,100216516,19,29271045
2017,97120750,100216512,25,29271043
2017,97120759,100216512,19,29271049
2017,97120759,100216516,25,29271050
2017,97122326,100218099,12,29271679
2017,97122981,100218753,18,29271984
2017,97122985,100218753,18,29271985
2017,97122975,100218753,18,29271980
2017,97122969,100218753,18,29271975
2017,97123197,100218967,24,29272063
2017,99373771,102495458,1,29956609
2017,99374033,102495722,3,29956662
2017,97124298,100220051,3,29272454
2017,97077803,100173078,3,29256362
2017,97078651,100174006,18,29256595
2017,97078654,100174006,1,29256596
2017,97078898,100174267,21,29256670
2017,97081220,100176674,24,29257192
