"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2017,27094365,92583643,1,14-JUL-17,1,"N",16,5,47,"M",1,2,"","","",47,0
2017,27094799,92585026,1,23-SEP-17,1,"N",23,5,30,"M",1,2,"","","",30,0
2017,27113695,92652150,1,21-OCT-17,1,"C",51,5,51,"M",2,2,"","","",51,0
2017,27114133,92654041,1,02-NOV-17,3,"M",23,5,41,"M",1,1,"","","",41,0
2017,27094153,92582842,1,07-OCT-17,3,"N",51,5,32,"M",1,2,"","","",32,0
2017,27094190,92582973,1,19-OCT-17,3,"N",16,5,36,"F",2,1,"","","",36,0
2017,27094244,92583171,1,13-OCT-17,3,"C",21,5,38,"M",1,2,"","","",38,0
2017,27094284,92583342,1,26-SEP-17,2,"N",35,5,39,"M",1,2,"","","",39,0
2017,27094346,92583570,1,01-NOV-17,3,"N",35,5,25,"M",1,2,"","","",25,0
2017,27094617,92584442,1,08-MAY-17,2,"N",45,5,59,"M",2,2,"","","",59,0
2017,27094805,92584991,1,20-SEP-17,2,"N",41,5,28,"F",1,2,"","","",28,0
2017,27094964,92585466,1,11-OCT-17,3,"N",11,5,38,"M",1,2,"","","",38,0
2017,27094979,92585503,1,19-OCT-17,2,"N",16,5,13,"F",1,3,"","H","",13,0
2017,27095734,92588894,1,03-JAN-17,1,"N",35,5,41,"M",1,2,"","","",41,0
2017,26940472,92114474,1,22-SEP-17,3,"N",45,5,36,"M",1,3,"","","",36,0
2017,26940475,92114479,1,20-AUG-17,3,"N",16,5,20,"F",1,3,"","","",20,0
2017,26940476,92114479,2,29-AUG-17,3,"N",16,5,25,"M",2,3,"","","",25,0
2017,26940517,92114632,2,04-SEP-17,3,"C",16,5,53,"F",2,2,"","","",53,0
2017,26940516,92114632,1,13-MAR-17,1,"N",35,5,35,"F",2,2,"","","",35,0
2017,26940541,92114728,1,05-SEP-17,3,"N",36,5,37,"M",2,2,"","","",37,0
2017,26940546,92114780,1,04-SEP-17,1,"N",27,5,32,"M",2,2,"","","",32,0
2017,26940623,92115089,1,06-SEP-17,3,"N",16,5,23,"F",2,3,"","","",23,0
2017,26940851,92115865,1,19-JUN-17,1,"N",51,5,47,"M",1,2,"","","",47,0
2017,26940872,92115936,1,22-JUN-17,2,"N",30,5,32,"M",1,1,"","","",32,0
2017,26941302,92117331,1,12-JUL-17,3,"M",21,5,17,"M",2,2,"","H","",17,0
2017,26941314,92117383,1,04-SEP-17,1,"M",27,5,55,"M",2,2,"","","",55,0
2017,26941352,92117609,1,14-JUL-17,1,"N",51,5,51,"F",2,2,"","","",51,0
2017,26942433,92121062,1,17-AUG-17,2,"N",51,5,35,"M",2,2,"","","",35,0
2017,26942441,92121080,1,17-AUG-17,1,"N",51,5,30,"F",2,2,"","","",30,0
2017,26943146,92123433,1,24-AUG-17,2,"N",16,5,24,"M",2,2,"","","",24,0
2017,26943662,92125228,1,27-AUG-17,2,"M",35,5,56,"M",2,2,"","","",56,0
2017,26943816,92125852,1,28-AUG-17,2,"N",16,5,32,"M",1,3,"","","",32,0
2017,26943888,92126145,1,28-AUG-17,2,"C",45,5,46,"F",1,2,"","","",46,0
2017,26944658,92129076,1,01-SEP-17,1,"C",39,5,34,"M",2,2,"","","",34,0
2017,26944673,92129172,1,02-SEP-17,2,"N",16,5,33,"M",1,2,"","","",33,0
2017,26944677,92129203,1,02-SEP-17,2,"M",5,5,41,"M",2,2,"","","",41,0
2017,26944971,92130849,1,08-SEP-17,2,"C",16,5,33,"M",2,2,"","","",33,0
2017,26945154,92131348,1,10-SEP-17,1,"N",23,5,60,"M",2,2,"","","",60,0
2017,26945458,92132805,1,15-SEP-17,2,"C",51,5,30,"M",2,2,"","","",30,0
2017,26945486,92132999,1,16-SEP-17,1,"N",51,5,25,"M",1,3,"","","",25,0
2017,26945540,92133282,1,18-SEP-17,2,"C",16,5,31,"M",2,2,"","","",31,0
2017,26945593,92133605,1,19-SEP-17,2,"N",45,5,71,"M",2,3,"","","",71,0
2017,26945666,92133926,1,21-SEP-17,3,"N",51,5,47,"M",2,2,"","","",47,0
2017,26924869,92071766,1,05-JUL-17,3,"N",41,5,22,"F",1,2,"","","",22,0
2017,26924873,92071766,2,05-JUL-17,1,"N",41,5,27,"M",1,2,"","","",27,0
2017,27094285,92583345,1,26-SEP-17,2,"N",45,5,42,"F",1,2,"","","",42,0
2017,27094386,92583726,1,18-OCT-17,2,"N",51,5,27,"F",1,2,"","","",27,0
2017,27094667,92584547,1,10-OCT-17,2,"N",35,5,20,"M",2,2,"","","",20,0
2017,27094672,92584570,1,23-OCT-17,2,"N",45,5,24,"M",1,2,"","","",24,0
