"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2017,101955866,19,25,,108443751
2017,101956013,11,1,,108443925
2017,101956013,10,,,108443929
2017,101956029,11,1,,108443948
2017,101956025,19,113,11-FEB-17,108443944
2017,101956023,19,113,,108443943
2017,102297366,52,0,,108891474
2017,101474366,10,,,107823382
2017,101474422,36,1700,,107823465
2017,101474947,6,1,,107824096
2017,101474945,61,1,,107824092
2017,101478349,21,964,,107828135
2017,101478733,2,31,,107828600
2017,101478741,2,31,14-SEP-17,107828609
2017,101478777,26,1000,,107828652
2017,101478777,7,3700,,107828646
2017,101478950,25,5,,107828851
2017,101478950,9,0,,107828853
2017,101478950,51,0,,107828855
2017,101478950,20,30,,107828850
2017,101480580,20,120,,107830690
2017,101480580,51,0,,107830693
2017,101480577,9,0,30-SEP-17,107830686
2017,101480580,9,0,,107830692
2017,101480580,61,600,,107830689
2017,101480580,6,135,,107830687
2017,101480580,63,40,,107830691
2017,101480580,25,140,,107830688
2017,101480637,63,299,,107830752
2017,101480826,3,1,06-OCT-17,107830979
2017,101480823,3,1,,107830975
2017,101480964,3,1,,107831133
2017,101480968,3,1,02-OCT-17,107831136
2017,101481740,19,1271,,107832049
2017,101481835,37,1000,,107832159
2017,101481839,37,1000,09-NOV-17,107832163
2017,101481985,3,1000,,107832322
2017,101481989,3,1000,19-OCT-17,107832348
2017,101482644,63,7056,,107833103
2017,101482650,3,1000,,107833117
2017,101482651,3,1000,16-OCT-17,107833119
2017,101482715,38,101,,107833198
2017,101482719,38,1,25-NOV-17,107833201
2017,101482798,3,700,23-OCT-17,107833308
2017,101482796,3,700,,107833289
2017,101484336,20,2,,107835157
2017,101484419,3,1000,02-NOV-17,107835254
2017,101484415,3,1000,,107835251
2017,101474254,26,1370,,107823237
2017,101474254,7,50,,107823241
2017,101474254,63,640,,107823239
2017,101474332,30,1,,107823335
2017,101474498,20,300,,107823552
2017,101474542,3,1000,,107823604
2017,101474652,20,5000,,107823729
2017,101474652,61,750,,107823732
2017,101990412,26,500,,108487732
2017,101990412,6,11873,,108487728
2017,101990552,3,2,,108487926
2017,101990554,3,1,04-JAN-18,108487928
2017,101956203,10,,,108444159
2017,101956203,11,1,,108444151
2017,101956303,20,150,,108444282
2017,101956300,3,200,,108444279
2017,101956458,11,1,,108444473
2017,101956458,10,,,108444476
2017,101956483,38,100,,108444508
2017,101956516,25,500,15-MAR-17,108444547
2017,101956508,25,500,,108444541
2017,101956634,10,,,108444678
2017,101956643,19,82,21-MAR-17,108444691
2017,101956640,19,82,,108444689
2017,101956769,20,200,,108444830
2017,101956905,10,,,108444993
2017,101956961,36,159,,108445058
2017,101956968,36,159,12-APR-17,108445068
2017,101956990,11,1,,108445090
2017,101956990,10,,,108445093
2017,104689845,61,600,,111948995
2017,101966907,17,100,,108457217
2017,101966907,20,800,,108457213
2017,101966907,25,425,,108457216
2017,101966907,10,500,,108457214
2017,101967373,10,,,108457811
2017,101967373,11,1,,108457810
2017,101967597,38,574,,108458097
2017,101968128,26,150,,108458753
2017,101968128,20,100,,108458737
2017,101968268,61,168,,108458944
2017,101968305,31,3500,,108458977
2017,101969121,63,450,,108459959
2017,101969720,2,727,,108460728
2017,101969790,52,0,,108460831
2017,101969790,20,300,,108460830
2017,101969835,38,10,,108460883
2017,101969886,38,20,06-NOV-17,108460945
2017,101969885,38,40,,108460942
2017,101969939,51,0,,108461006
2017,101969939,9,0,,108461005
2017,101969939,25,50,,108461000
2017,101969939,20,28,,108461003
2017,101970009,11,4,,108461090
2017,101970009,10,,,108461091
2017,101970020,10,,,108461108
2017,101970020,11,1,,108461107
2017,101970093,10,,,108461196
2017,101970179,9,0,,108461304
2017,101970345,20,991,,108461502
2017,102562539,20,372,,109242506
2017,102909976,63,2500,,109693903
2017,101484521,61,750,,107835367
2017,101484835,61,359,,107835733
2017,101484835,9,0,,107835737
2017,101484835,51,0,,107835738
2017,101484835,26,345,,107835731
2017,101484835,20,250,,107835730
2017,101484835,25,60,,107835735
2017,101484835,63,175,,107835734
2017,101485191,3,1000,27-NOV-17,107836217
2017,101485187,3,14000,,107836211
2017,101485518,2,242,,107836613
2017,101485336,63,38,,107836385
2017,101485339,63,38,06-NOV-17,107836387
2017,101485382,9,0,,107836433
2017,101485382,22,0,,107836434
2017,101485382,51,0,,107836437
2017,101485382,63,215,,107836431
2017,101485382,20,20,,107836432
2017,101485382,25,450,,107836428
2017,101485936,13,680,,107837121
