"DATA_YEAR.x" "INCIDENT_ID" "PROP_LOSS_NAME" "PROP_LOSS_DESC" "PROPERTY_VALUE" "PROP_DESC_NAME"
"128" 2017 90849289 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 50 "Other"
"129" 2017 90849342 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 15 "Other"
"130" 2017 90849379 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"131" 2017 90849454 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1 "Other"
"132" 2017 90849454 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 0 "Credit/ Debit cards"
"133" 2017 90849475 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 20 "Other"
"134" 2017 90849475 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1300 "Money"
"135" 2017 90849475 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1000 "Tools"
"136" 2017 90849475 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 0 "Non Negotiable Instruments"
"137" 2017 90849509 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"138" 2017 90849525 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 2 "Vehicle Parts"
"139" 2017 90849196 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 450 "Jewelry/ Precious Metals"
"140" 2017 90849196 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 750 "Clothes/ Furs"
"141" 2017 90849274 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"142" 2017 90849302 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"143" 2017 90849302 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"144" 2017 90849447 "None" "None" NA NA
"145" 2017 90849472 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 350 "Vehicle Parts"
"146" 2017 90849526 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"147" 2017 90114806 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 1 "Vehicle Parts"
"148" 2017 90114818 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 2500 "Automobile"
"149" 2017 90114825 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1570 "Vehicle Parts"
"150" 2017 90114870 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"151" 2017 90114870 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"152" 2017 90114907 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"153" 2017 90114955 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1384 "Vehicle Parts"
"154" 2017 90114966 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1238 "Other"
"155" 2017 90114993 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 3332 "Merchandise"
"156" 2017 90115119 "Counterfeited/Forged" "Counterfeited/Forged" 860 "Negotiable Instruments"
"157" 2017 90415086 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 25 "Drugs/ Narcotics"
"158" 2017 90415140 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
