"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,5,101783224,0.96,1,8767516
2017,16,102526281,,,8892174
2017,5,101857351,0.06,3,8780002
2017,16,101857351,0.61,3,8780001
2017,1,101860208,0.1,1,8780391
2017,5,101776727,5.5,1,8766671
2017,8,102474547,2,9,8883813
2017,5,101860873,0.03,3,8780476
2017,2,101882865,0.2,1,8784011
2017,5,101851050,0.172,3,8778721
2017,11,101852948,4,9,8779161
2017,5,101852948,19.1,1,8779160
2017,16,101852948,16,9,8779162
2017,5,101853820,20.33,1,8779453
2017,5,101874278,0.535,3,8782637
2017,15,101877487,0.5,1,8783035
2017,5,101883693,4.59,1,8784229
2017,16,101883693,1.98,1,8784246
2017,12,101883693,3.13,1,8784230
2017,5,101873950,0.08,3,8782516
2017,12,101877815,1.9,1,8783099
2017,12,101880071,0.3,1,8783491
2017,5,101872569,6.1,1,8782034
2017,1,101872569,1,1,8782033
2017,8,101872569,1,11,8782035
2017,12,101859095,2.8,1,8780236
2017,5,102402786,5.66,1,8873549
2017,5,105731515,,,9491325
2017,12,101851180,0.6,1,8778746
2017,5,101882100,1.82,3,8783944
2017,12,102492290,0.06,1,8887311
2017,12,102473180,0.2,1,8883540
2017,5,102478225,,,8884286
2017,16,102478225,,,8884287
2017,12,101855079,1,11,8779752
2017,12,101855079,1.2,1,8779751
2017,13,101873473,2.7,1,8782322
2017,16,101873473,33.9,1,8782321
2017,18,101873473,,,8782324
2017,2,102491113,0.03,1,8887071
2017,5,102491113,1,1,8887070
2017,10,101891919,0.9,1,8785497
2017,5,101891919,0.01,3,8785496
2017,5,102505740,0.04,3,8889042
2017,18,102505740,,,8889043
2017,2,102505740,0.89,1,8889041
2017,16,106858210,9.69,1,9739745
2017,5,106861412,0.022,3,9739705
2017,5,106861788,0.037,3,9742774
2017,5,105273723,3.62,3,9394329
2017,12,105218887,55.46,1,9385461
2017,2,97563487,0.3,1,8139207
2017,5,106858938,0.176,3,9742843
2017,5,97690402,0.995,3,8159155
2017,15,97483870,7,9,8127660
2017,8,97483870,39,9,8127659
2017,5,105731537,0.082,3,9491332
2017,12,105231984,0.73,1,9386647
2017,3,105257297,18.88,1,9387897
2017,2,105257297,0.53,1,9391389
2017,5,105257297,435,3,9387898
2017,16,105272797,4,9,9393119
2017,5,106861817,0.011,3,9739776
2017,5,106857153,0.504,3,9742563
2017,8,106861312,0.025,3,9739692
2017,5,106865770,0.203,3,9734857
2017,5,105251387,0.53,3,9390868
2017,5,105257245,0.038,3,9391375
2017,5,105259684,0.04,3,9391370
2017,17,101809556,,,8771481
2017,5,101822650,2,1,8774330
2017,5,101842736,1.15,3,8777161
2017,8,101770341,,,8765805
2017,12,101771834,1.3,1,8766053
2017,16,101776370,2,9,8766586
2017,5,101776370,0.025,3,8766589
2017,8,101834296,33,1,8775946
2017,18,101834296,,,8775948
2017,8,101834296,1,9,8775947
2017,5,101834933,0.08,3,8776037
2017,12,101835354,3.2,1,8776141
2017,5,101850103,0.032,3,8778547
2017,15,101850138,1.6,1,8778558
2017,12,101850138,19.5,1,8778556
2017,12,101811541,0.2,1,8771926
2017,5,101815197,0.92,3,8772602
2017,5,101760312,1,1,8764351
2017,2,101771006,,,8765920
2017,1,101806847,0.5,1,8770844
2017,12,101777335,1,1,8766753
2017,15,101842478,0.5,1,8777137
2017,5,101793430,0.087,1,8768938
2017,5,101807946,46.32,1,8771125
2017,3,101807946,0.94,1,8771123
2017,18,101807946,,,8771127
2017,5,101850581,1.7,1,8778638
2017,5,101870392,0.037,3,8781679
2017,5,101870392,1,9,8781678
2017,5,101870704,0.28,3,8781717
2017,5,101873258,0.54,3,8782232
2017,12,101854538,0.4,1,8779612
2017,16,101873524,1,9,8782341
2017,5,101873524,0.1,3,8782345
2017,12,101873524,3.7,1,8782343
2017,5,101884674,0.32,3,8784389
2017,12,97706281,0.05,1,8161330
2017,5,97719464,1,1,8163575
