"","text","media"
"91","Даже небольшой бизнес может позволить себе полноценную телефонную сеть как у огромного колл-центра банка — и стоить это будет как две чашки хорошего кофе. Благодаря облачной телефонии не нужно даже иметь офис, чтобы запустить полноценную систему общения с клиентами! А ещё можно собирать статистику, записывать разговоры и делать другие полезные для бизнеса вещи.<br><br>Вместе с сервисом Zadarma рассказываем, как работает невидимая АТС будущего: https://zona.media/card/zadarma<br><br>#партнерское","mediazona_post91"
"92","Здравый смысл в очередной раз проиграл цензуре.<br><br>В России отменили «Смерть Сталина»","mediazona_post92"
"93","Шёл 2018 год. Правозащитникам в Дагестане угрожали сжечь их вместе с их офисом","mediazona_post93"
"94","Отделение «Мемориала» в Ингушетии открылось в марте 2000 года и сначала занималось проблемами беженцев из соседней Чечни. Вскоре правозащитникам пришлось заняться и другими вопросами — бессудными казнями, похищениями, пытками. Все эти годы их офис в Назрани находился на втором этаже небольшого кирпичного дома на улице Муталиева. <br> <br>В ночь на 17 января люди в масках его подожгли. <br> <br>Наш корреспондент [id140223020|Егор Сковорода] побывал в Назрани и поговорил с правозащитниками о специфике их работы на Северном Кавказе: https://zona.media/article/2018/01/23/memo","mediazona_post94"
"95","Никаких шуточек в Оренбургской области!<br><br>Из-за видео с шутками и мужским стриптизом глава оренбургского Минлесхоза и его заместители остались без работы","mediazona_post95"
"96","ФСБ прекратила дело против саратовца Юрия Балакшина, который лишился стопы при авиаударе по расположению террористов в Сирии: https://goo.gl/S3Pq32","mediazona_post96"
"97","Полицейские избили задержанного казанца Павла Дроздова, надели на него наручники и связали в позе «ласточка». Мужчина умер, а они все отделались условными сроками","mediazona_post97"
"98","Банк «Точка» заморозил резервный счет фонда «Пятое время года», хотя в базе ФССП нет постановления судебных приставов о блокировке его счетов","mediazona_post98"
"99","Ну начинается!<br><br>Общественный совет при Минкультуры считает комедию «Смерть Сталина» оскорбительной и требует перенести премьеру на лето","mediazona_post99"
"100","Полицейские хотят провести обыск в штабе Навального во Владивостоке и задержать организатора акции 28 января — то ли «за призыв к митингу», то ли «за репост»","mediazona_post100"
"101","Вчера в Махачкале подожгли машину, на которой несколько дней назад дагестанский адвокат ездил в чеченское село Курчалой на следственные действия по делу правозащитника Оюба Титиева","mediazona_post101"
"102",NA,"mediazona_post102"
"103","При досмотре автомобиля полицейские нашли маски с прорезями для глаз и что-то похожее на оружие<br><br>Поэтому ппсники решили отпустить задержанных за 55 тысяч рублей","mediazona_post103"
"104","Суд на два месяца арестовал подростка, напавшего на школу в Улан-Удэ <br>https://zona.media/chronicle/burschool#17042 … подозреваемого уже выписали из больницы","mediazona_post104"
"105","Сегодня в «Матросской тишине» прослушали запись еще одного разговора Никиты Белых с бизнесменом Юрием Зудхаймером, который написал заявление на экс-губернатора. Затем Белых начал давать дополнительные показания. В среду, скорее всего, пройдут прения сторон. <br><br>Офлайн-трансляция по рукописным конспектам нашего корреспондента","mediazona_post105"
"106","Правозащитный центр «Мемориал» признал политическими заключенным трех обвиняемых по делу «Балтийского авангарда русского сопротивления». <br><br>Мы как раз недавно рассказывали об этом движении монархистов-маргиналов, выступавших за возвращение городу исторического названия Кенигсберг: https://zona.media/article/2017/12/18/bars","mediazona_post106"
"107","Новость, в которой прекрасно все. ФСБ требует почти на два месяца позакрывать хоть сколько-нибудь опасные производства в регионах, где пройдут матчи чемпионата мира по футболу. Закроют все химическое, атомное, биологическое и так далее.<br><br>Хотят даже прикрыть комбикормовый заводик в 200 километрах от Нижнего Новгорода","mediazona_post107"
"108","Счет фонда «Пятое время года» штаба президентской кампании Навального заблокировали через несколько часов после решения суда о ликвидации фонда. Сверхъестественная оперативность какая-то","mediazona_post108"
"109","Экс-сотрудник «Лаборатории Касперского» рассказывает, как в компании росло влияние выходцев из российских силовых структур: https://zona.media/news/2018/01/22/orki<br><br>Сейчас у нмх есть доступ к облачной системе Kaspersky Security Network и возможность скачивать любые файлы с компьютеров, на которых она установлена","mediazona_post109"
"110","Для задержанных: укусить полицейского в плечо и бросить в него кроссовок — штраф в 20 тысяч рублей и два года условно<br><br>Для полицейских: избить задержанную до ушиба ребра и растяжения связок — бесплатно","mediazona_post110"
"111","Пора вводить рубрику «Хорошая попытка!»<br><br>Сахалинские продуктовые магазины печатают на чеках призывы сходить на выборы, а местные чиновники задумали 18 марта провести голосование по проектам «комфортной городской среды»","mediazona_post111"
"112","Потрясающая история из Нижнего Тагила! <br><br>Для поднятия явки местные чиновники ищут студентов-неформалов, «способных повести за собой молодежные группы»","mediazona_post112"
"113","Максима Панфилова отпустили домой!<br><br>Полгода он пробыл в психиатрической больнице, а теперь будет наблюдаться у врача по месту жительства","mediazona_post113"
"114","Медведице с монумента «Здесь начинается Россия» обломали уши.<br><br>Без комментариев","mediazona_post114"
"115","(Место для подписи про девяностые)","mediazona_post115"
"116","Ждём запрета сообщать о запрете сообщать о взаимодействии со спецслужбами","mediazona_post116"
"117","Суд ликвидировал фонд «Пятое время года», который обеспечивает работу штабов Навального. <br><br>Среди претензий Минюста были смена адреса, сбор персональных данных сторонников кампании и прием пожертвований в биткоинах","mediazona_post117"
"118","Собака задела лапой спусковой крючок охотничьего ружья, приклад которого был уперт в землю, а ствол направлен в живот охотника","mediazona_post118"
"119","Власти Ейска запретили давать помещение молодежному клубу «Камелот» для проведения игры «Что? Где? Когда?», потому что организатор игры — оппозиционер.<br><br>Шёл 2018 год","mediazona_post119"
"120","Мещанский суд рассматривает иск Минюста с требованием ликвидировать фонд «Пятое время год» — именно через него соратники Навального арендуют помещения под штабы и заключают договора с сотрудниками, работающими на кампанию на постоянной основе.<br><br>Судья запретила снимать заседание на видео: можно будет снять лишь решение, если оно будет вынесено. Начинаем онлайн: https://zona.media/online/2018/01/22/pvg","mediazona_post120"
"121","Правительство смягчило условия «закона Яровой», но только для операторов — теперь им нужно готовить хранилища меньшего объема","mediazona_post121"
"122","Александра Валова обвиняют в вымогательстве 300 тысяч рублей у депутата Госдумы от ЛДПР Юрия Напсо","mediazona_post122"
"123","Во всех школах Улан-Удэ решили провести анкетирование учеников для раннего выявления агрессии","mediazona_post123"
"124","Мусаев арестован по делу о превышении полномочий, но обвинения ему пока не предъявили","mediazona_post124"
"125","Во время охоты чиновник заметил «кабанов» в тепловизионный прицел и выстрелил. Вместо кабана он убил егеря, но обойдется ему эта ошибка всего в 100 тысяч рублей","mediazona_post125"
"126","Вчера днем мальчик вышел из школы, но не вернулся домой. Сегодня нашли его тело.<br><br>СК проверяет версию о том, что замерзший насмерть ребенок пил алкоголь с друзьями в садовом домике","mediazona_post126"
"127","Решение по мере пресечения Александру Валову суд принимает прямо сейчас. Адвокат Попков пишет, что его уведомили о времени заседания буквально за несколько минут до его начала","mediazona_post127"
"128","","mediazona_post128"
