ПП 2016,ПП 2015,Наименование компании,Бренды,Сайт,Ключевые собственники,Регион,Отрасль,"Вырчука, 2016 г.","Выручка, 2015 г.",Чистая прибыль 2016 г.,Чистая прибыль 2015 г.,Налог на прибыль 2016 г.,Налог на прибыль 2015 г.,"Оплата труда, 2016 г.","Оплата труда, 2015 г.","Инвестиции в ОС, 2016 г.","Инвестиции в ОС, 2015 г."
56,59,ТЭК СПб,ГУП ТЭК СПб,gptek.spb.ru,РФ (субъект РФ),СПб,Энергоснабжение,35122,26509,252,NA288,449,213,4106,3635,3846,3133
57,61,Рольф Эстейт СанктNAПетербург,Рольф,rolfNAlahta.ru,Иностранные компании (Кипр),СПб,Торговля автомобилями,34037,25175,462,559,121,150,1887,1683,275,213
58,68,Дочерние общества ГК Ренейссанс,Ренейссанс,rencons.com,Корпорация Ренейссанс,СЗФО,Промышленное строительство,33262,21984,1068,942,329,245,2487,1987,0,0
59,NA,Логитэк,Логитэк,logitec.ru,Ковалев А.В.,СПб,Автотранспорт,33005,NA,72,NA,NA,NA,NA,NA,NA,NA
60,74,Петербургский метрополитен,Петербургский метрополитен,spbmetropoliten.ru,РФ (субъект РФ),СПб,Городской транспорт,32557,18832,866,NA270,354,157,11126,10034,4168,2741
61,51,Эталон ЛенспецСМУ,"ЛенспецСМУ, Эталон",lenspecsmu.ru,Иностранные компании (Кипр),СПб,Жилищное строительство,31957,31654,5985,6026,1275,1563,881,790,3138,440
62,126,БСХ Бытовые Приборы,"Bosch, Siemens 
и др.",bshNAgroup.com,"BSH Hausgerate GmbH, Германия",СПб,IT и приборостроение,30964,10118,NA426,NA531,168,0,1019,701,1927,310
63,44,ОФ ПТК,ПТК,ptk.ru,Медведева В.В.,СПб,Торговля нефтепродуктами,30457,36424,38,28,12,8,32,32,0,0
64,60,Водоканал СанктNAПетербург,Водоканал СанктNAПетербург,vodokanal.spb.ru,РФ (субъект РФ),СПб,Энергоснабжение,30193,26003,34,NA2414,602,17,4719,4590,7590,7878
65,64,СТД Петрович,СТД Петрович,tdp.ru,"Мельников А.А., Березкин А.М., Березкин Е.А.",СПб,DIY ритейл,29811,23394,1296,1093,331,296,2406,1347,557,108
66,75,Якобс дау эгбертс Рус,Jacobs,jacobsmonarch.com,"YAKOBS DAU EGBERTS, Нидерланды",Лен. Обл.,АПК,28773,18655,3016,1437,844,848,1507,802,1394,405
67,66,Балтийский лизинг,Балтийский лизинг,baltlease.ru,Граждане России,СПб,Финансовые организации,26667,22967,740,701,201,194,726,573,31,18
68,63,Архангельский ЦБК,Архангельский ЦБК,appm.ru,"Pulp Mill Holding GmbH, Австрия",Арх. Обл.,Деревообрабатывающая промышленность,26525,23980,5604,5003,856,1337,2738,1958,3428,1532
69,47,Гознак,Гознак,goznak.ru,РФ (субъект РФ),СПб,Деревообрабатывающая промышленность,24611,35972,1846,6109,413,1659,4597,7294,2599,6496
70,67,Метрострой,Метрострой,vcmet.ru,"РФ (субъект РФ), Александров А.Н.",СПб,Промышленное строительство,24449,22269,125,406,76,109,1630,954,275,1037
71,70,УстьNAЛуга Ойл,УстьNAЛуга Ойл,ustlugaoil.ru,Бокарев А.Р.,Лен. Обл.,ЖДNAтранспорт,23762,21700,18316,3781,2327,0,1005,1266,435,1132
72,56,Магистраль Северной Столицы,Западный скоростной диаметр (ЗСД),nchNAspb.ru,"ВТБ, Газпромбанк",СПб,Промышленное строительство,23590,28992,3495,446,0,0,274,216,18982,21467
73,72,ГК Артис,"Артис, Арла, Сельцо, Молочная культура",artisgroup.ru,Граждане России,СЗФО,АПК,23366,19987,NA,NA,62,42,394,345,46,194
74,73,Ригли,Wrigley,wrigley.com,Wm. Wrigley Jr. Company (США),СПб,АПК,22125,19868,2075,1561,561,501,1777,1753,686,423
75,83,Деловые  Линии,Деловые Линии,dellin.ru,Иностранные компании (Кипр),СПб,Автотранспорт,21637,17215,162,84,192,23,841,938,172,215
76,77,Карелия Палп,Karjalapulp,karjalapulp.com,"Владимирова Т.Н., Попов А.В.",СПб,Деревообрабатывающая промышленность,21341,18337,313,382,147,102,123,90,0,0
77,62,ПФ ВИС,ВИС,pfvis.ru,"Снегуров И.А., УК ВИС",Лен. Обл.,Промышленное строительство,19965,24789,2814,2512,642,863,1003,NA,14,NA
78,71,БалтТрансСервис,БалтТрансСервис,bts.ru,Иностранные компании (Кипр),СПб,ЖДNAтранспорт,19312,21645,4264,5724,1085,1471,653,561,17,22
79,79,Птицефабрика Северная,ПФ Северная,pcrc.spb.runewsinform,"AgroNAInvest Brinky B.V., Нидерланды",Лен. Обл.,АПК,19306,18181,1736,2359,18,39,1215,1081,143,213
80,85,Максидом,Максидом,maxidom.ru,Евневич А.А. и др.,СПб,DIY ритейл,18924,17031,1805,2758,442,635,1625,1595,3580,1596
81,80,РНNAСеверная нефть,Роснефть,sevneft.ru,ПАО НК Роснефть,Коми,ТЭК,18440,17885,9043,9430,1905,2344,2108,1973,902,417
82,82,Несте СанктNAПетербург,NESTE,neste.ru,"Neste Oyj, Финляндия",СПб,Торговля нефтепродуктами,18328,17634,1069,948,319,290,717,644,147,78
83,84,Фацер,"Fazer, Хлебный дом",fazer.ru,Корпорация Fazer,СПб,АПК,18257,17145,812,NA300,190,7,2606,1413,304,259
84,87,X5 Недвижимость,"X5, Перекресток, Карусель",x5.ru,Холдинг Х5,СПб,FMCG ритейл,17572,16025,1441,2254,0,294,NA,NA,NA,NA
85,86,Филиалы ПАО РЕСОNAГарантия,РЕСО,reso.ru,Холдинг РЕСО,СЗФО,Финансовые организации,17360,16222,NA,NA,NA,NA,1119,1210,NA,NA
